fold_id,ticker,retrain_interval,stage,iter,window,units,learning_rate,epochs,threshold,sharpe,mdd,raw_sharpe,raw_mdd,turnover,penalty,front_type,,,,,,,,,,,,
553,NVDA,10,RS,2,35,74,0.002937753,31,0.6559724533616965,11.926762905637759,0,11.926762905637759,0,1,0.006777645,RS,,,,,,,,,,,,
553,NVDA,10,RS,26,20,84,0.009144108,18,0.5506825783069589,11.926762905637759,0,11.926762905637759,0,1,0.006777645,RS,,,,,,,,,,,,
553,NVDA,10,RS,37,30,78,0.008805608,13,0.5777395411310817,11.926762905637759,0,11.926762905637759,0,1,0.006777645,RS,,,,,,,,,,,,
553,NVDA,10,RS,43,36,34,0.007862071,60,0.5426870254576466,11.926762905637759,0,11.926762905637759,0,1,0.006777645,RS,,,,,,,,,,,,
553,NVDA,10,RS,44,32,73,0.002496232,67,0.575592064,14.568726213454386,0.0007,14.568726213454386,0.0007,2,0.006777645,RS,,,,,,,,,,,,
553,NVDA,10,RS,53,15,59,0.003741167,38,0.5853413651793091,11.926762905637759,0,11.926762905637759,0,1,0.006777645,RS,,,,,,,,,,,,
553,NVDA,10,RS,64,30,79,0.008464418,51,0.5370542559144489,11.926762905637759,0,11.926762905637759,0,1,0.006777645,RS,,,,,,,,,,,,
553,NVDA,10,RS,78,28,39,0.009367933,26,0.5927390728912187,11.926762905637759,0,11.926762905637759,0,1,0.006777645,RS,,,,,,,,,,,,
553,NVDA,10,RS,80,40,67,0.006898394,41,0.5973201946583263,11.926762905637759,0,11.926762905637759,0,1,0.006777645,RS,,,,,,,,,,,,
553,NVDA,10,RS,97,12,81,0.004770554,22,0.5823348585751628,11.926762905637759,0,11.926762905637759,0,1,0.006777645,RS,,,,,,,,,,,,
553,NVDA,20,RS,9,14,58,0.00403398,36,0.5199921307348633,13.226431053850265,0,13.226431053850265,0,1,0.004471482,RS,,,,,,,,,,,,
553,NVDA,20,RS,36,25,34,0.004084345,53,0.5298689633262289,13.226431053850265,0,13.226431053850265,0,1,0.004471482,RS,,,,,,,,,,,,
553,NVDA,20,RS,43,25,59,0.009873638,59,0.5431260235916746,13.226431053850265,0,13.226431053850265,0,1,0.004471482,RS,,,,,,,,,,,,
553,NVDA,20,RS,113,40,68,0.008806276,43,0.5581561468725404,13.226431053850265,0,13.226431053850265,0,1,0.004471482,RS,,,,,,,,,,,,
553,NVDA,42,RS,120,10,92,0.009389177,68,0.6642990831326284,10.539385597461589,0,10.539385597461589,0,1,0,RS,,,,,,,,,,,,
564,NVDA,10,RS,98,25,66,0.00072683,76,0.892494584,2.9961066150762266,0.00851514,2.9961066150762266,0.00851514,6,0.003,RS,,,,,,,,,,,,
564,NVDA,10,RS,101,22,36,0.005269935,65,0.8480892156299593,4.468964053047661,0.00990628,4.468964053047661,0.00990628,12,0.003,RS,,,,,,,,,,,,
564,NVDA,20,RS,85,11,34,0.003789842,13,0.9105773434604376,5.188421069720932,0.0007,5.188421069720932,0.0007,6,0.003,RS,,,,,,,,,,,,
564,NVDA,42,RS,65,35,35,0.008942146,26,0.8592551685688541,4.858662742588777,0.010866289187132661,4.858662742588777,0.010866289187132661,2,0,RS,,,,,,,,,,,,
564,NVDA,42,RS,108,15,69,0.004872402,12,0.808887954,4.4909601236500905,0.007820615,4.4909601236500905,0.007820615,2,0,RS,,,,,,,,,,,,
159,AMZN,10,RS,27,40,68,0.00637287,67,0.8051595719891054,7.339622034794156,0.0007,7.339622034794156,0.0007,10,0.003,RS,,,,,,,,,,,,
159,AMZN,10,RS,92,29,64,0.00421434,30,0.7077920133449587,7.607719752129492,0.001243243,7.607719752129492,0.001243243,11,0.003,RS,,,,,,,,,,,,
159,AMZN,20,RS,115,18,35,0.008792362,32,0.6348374437712493,5.286889461539517,0.001243243,5.286889461539517,0.001243243,12,0.003,RS,,,,,,,,,,,,
159,AMZN,20,RS,116,17,45,0.006526452,65,0.6347250030568601,5.740360630288182,0.010205943572918992,5.740360630288182,0.010205944,12,0.003,RS,,,,,,,,,,,,
159,AMZN,20,RS,118,40,63,0.000519132,64,0.5260626802188585,5.536763494198531,0.006297235,5.536763494198531,0.006297235,11,0.003,RS,,,,,,,,,,,,
159,AMZN,20,RS,119,26,37,0.006383054,34,0.8913047721570901,4.465713363858367,0.0007,4.465713363858367,0.0007,8,0.003,RS,,,,,,,,,,,,
159,AMZN,42,RS,8,17,86,0.004223765,33,0.643695017,7.2288959461260065,0.0007,7.2288959461260065,0.0007,14,0,RS,,,,,,,,,,,,
347,META,10,RS,61,10,59,0.002001671,16,0.9425751294331494,4.107758031614253,0.0007,4.107758031614253,0.0007,8,0.003,RS,,,,,,,,,,,,
347,META,10,RS,65,12,59,0.006495106,56,0.7114849629106967,5.431890948416828,0.004761816,5.431890948416828,0.004761816,10,0.003,RS,,,,,,,,,,,,
347,META,10,RS,111,40,47,0.003854896,23,0.6587005204495249,6.296483561,0.009352402,6.296483561,0.009352402,14,0.003,RS,,,,,,,,,,,,
347,META,20,RS,11,21,61,0.002872753,80,0.5977579845043989,5.233621572955593,0.008173123,5.233621572955593,0.008173123,10,0.003,RS,,,,,,,,,,,,
347,META,20,RS,28,23,62,0.008649097,71,0.595147938,5.639441338210603,0.012060354235971758,5.639441338210603,0.012060354235971757,10,0.003,RS,,,,,,,,,,,,
347,META,20,RS,43,36,35,0.008863829,40,0.8384877555146304,4.389903727778063,0.004761816,4.389903727778063,0.004761816,8,0.003,RS,,,,,,,,,,,,
347,META,20,RS,48,31,59,0.006632792,34,0.9371647279346106,4.045526385799023,0.0007,4.045526385799023,0.0007,6,0.003,RS,,,,,,,,,,,,
347,META,42,RS,89,35,32,0.00284282,21,0.7813002162807491,5.149729029913532,0.00738069,5.149729029913532,0.00738069,2,0,RS,,,,,,,,,,,,
347,META,42,RS,96,26,52,0.004150149,34,0.86028738,4.955026823726501,0.0007,4.955026823726501,0.0007,4,0,RS,,,,,,,,,,,,
206,AMZN,10,RS,43,34,88,0.004687721,59,0.9423031278873163,4.527409217487499,0.0007,4.527409217487499,0.0007,8,0.003,RS,,,,,,,,,,,,
206,AMZN,20,RS,113,29,65,0.002231821,14,0.9492946088866167,3.1102107879324503,0.0007,3.1102107879324503,0.0007,4,0.003,RS,,,,,,,,,,,,
206,AMZN,42,RS,83,18,44,0.006411373,80,0.8996388808017147,3.078326910531327,0.014188304,3.078326910531327,0.014188304,4,0,RS,,,,,,,,,,,,
206,AMZN,42,RS,95,19,86,0.009109511,51,0.8548469108894007,2.509229308639111,0.012797752123200343,2.509229308639111,0.012797752123200343,8,0,RS,,,,,,,,,,,,
364,META,10,RS,99,21,44,0.004180959,41,0.6685367863174264,7.629972565820607,0.008085276,7.629972565820607,0.008085276,12,0.003,RS,,,,,,,,,,,,
364,META,10,RS,115,15,38,0.001143695,41,0.6760048882845922,6.484055219722346,0.006563976,6.484055219722346,0.006563976,12,0.003,RS,,,,,,,,,,,,
364,META,10,RS,118,17,41,0.006816449,32,0.728237686,6.239387772,0.005168574,6.239387772,0.005168574,14,0.003,RS,,,,,,,,,,,,
364,META,20,RS,45,11,96,0.001790265,28,0.7402534266168361,7.8276832014014275,0.0007,7.8276832014014275,0.0007,7,0.003,RS,,,,,,,,,,,,
364,META,42,RS,23,28,70,0.007696426,11,0.9392742923299066,4.996436524156534,0.0007,4.996436524156534,0.0007,4,0,RS,,,,,,,,,,,,
364,META,42,RS,37,28,93,0.0062369,21,0.9164113549740286,4.996436524156534,0.0007,4.996436524156534,0.0007,4,0,RS,,,,,,,,,,,,
364,META,42,RS,75,11,58,0.003139528,36,0.5641291226402659,6.278733242903558,0.011079810602239072,6.278733242903558,0.011079810602239072,12,0,RS,,,,,,,,,,,,
364,META,42,RS,107,24,93,0.003132487,13,0.6212346379236477,6.474907755959543,0.012995620317981975,6.474907755959543,0.012995620317981975,11,0,RS,,,,,,,,,,,,
444,MSFT,10,RS,91,27,78,0.004699401,36,0.6285313111934706,4.1452116746163306,0.009483048,4.1452116746163306,0.009483048,12,0.003,RS,,,,,,,,,,,,
444,MSFT,10,RS,120,30,45,0.008088242,62,0.5928077354929032,5.102240185697416,0.010176410083228258,5.102240185697416,0.010176410083228256,10,0.003,RS,,,,,,,,,,,,
444,MSFT,20,RS,34,29,48,0.009723324,46,0.5708419997728402,5.087808851815039,0.009483048,5.087808851815039,0.009483048,12,0.003,RS,,,,,,,,,,,,
444,MSFT,42,RS,72,15,87,0.001537808,47,0.6771787034735451,5.083608909185668,0.010176410083228298,5.083608909185668,0.010176410083228298,13,0,RS,,,,,,,,,,,,
444,MSFT,42,RS,73,17,42,0.001813067,39,0.8110911581232036,4.15085726,0.002838251,4.15085726,0.002838251,8,0,RS,,,,,,,,,,,,
444,MSFT,42,RS,90,18,61,0.009138397,68,0.9212043545004154,2.9424097442401203,0.0007,2.9424097442401203,0.0007,4,0,RS,,,,,,,,,,,,
400,MSFT,10,RS,103,30,37,0.004511833,59,0.7202588970193721,6.656000366181896,0.003599969,6.656000366181896,0.003599969,8,0.003,RS,,,,,,,,,,,,
400,MSFT,20,RS,62,36,85,0.001900863,55,0.5445343374784928,5.153561164989752,0.001642105,5.153561164989752,0.001642105,10,0.003,RS,,,,,,,,,,,,
400,MSFT,20,RS,104,38,80,0.007717551,45,0.7317846477376432,5.347129362507746,0.005153498,5.347129362507746,0.005153498,8,0.003,RS,,,,,,,,,,,,
400,MSFT,20,RS,112,16,47,0.001120743,29,0.5033411550015783,5.865029759889626,0.005507988,5.865029759889626,0.005507988,16,0.003,RS,,,,,,,,,,,,35,AAPL,10,RS,87,11,40,0.00852735487337625,55,0.7778131647028339,6.092761679524458,0.0011367149218681006,6.092761679524458,0.001136714921868101,9.0,0.003,RS
35,AAPL,20,RS,27,30,93,0.007872457098033823,53,0.5320543075568269,6.580036122989428,0.007736991166325066,6.580036122989428,0.007736991166325067,4.0,0.003,RS
35,AAPL,20,RS,73,15,45,0.009984923760462346,30,0.7986214759917558,5.354371870746454,0.003015882047786244,5.354371870746454,0.003015882047786244,6.0,0.003,RS
35,AAPL,20,RS,97,39,65,0.0021246156927604318,75,0.8990711433479447,5.067188855855493,0.0007000000000000435,5.067188855855493,0.0007000000000000433,4.0,0.003,RS
35,AAPL,42,RS,75,38,95,0.0014161191888948312,50,0.6028907460272859,6.351057131821555,0.005247423253072924,6.351057131821555,0.005247423253072924,5.0,0.0,RS
35,AAPL,42,RS,88,39,69,0.005425482089717177,26,0.8087051377220638,5.468043026730183,0.0006999999999999162,5.468043026730183,0.0006999999999999162,2.0,0.0,RS
599,TSLA,10,RS,60,37,64,0.007913875462712118,49,0.9459682344567111,3.434716775461442,0.0020985303430000575,3.434716775461442,0.0020985303430000575,8.0,0.003,RS
599,TSLA,10,RS,73,36,51,0.006148498174873574,26,0.8066254482026495,3.4582600255703304,0.009280836133353725,3.4582600255703304,0.009280836133353723,10.0,0.003,RS
599,TSLA,10,RS,94,34,58,0.0031495391112678515,67,0.6597728252451007,3.521620813350364,0.02871740507681517,3.521620813350364,0.028717405076815167,14.0,0.003,RS
599,TSLA,20,RS,32,32,93,0.008280462995390828,62,0.9495153139209925,1.763820261299619,0.00707062617777443,1.763820261299619,0.007070626177774429,4.0,0.003,RS
599,TSLA,20,RS,98,38,68,0.007214766631485735,73,0.5632112841576071,5.181952198887109,0.007448804660483707,5.181952198887109,0.007448804660483707,16.0,0.003,RS
599,TSLA,42,RS,81,17,40,0.0030400097818741962,25,0.852313738868992,2.3987340334600553,0.028717405076815198,2.3987340334600553,0.028717405076815198,8.0,0.0,RS
599,TSLA,42,RS,96,19,41,0.004624166103741632,70,0.6839147634539666,3.2018494421908725,0.088613522872183,3.2018494421908725,0.088613522872183,11.0,0.0,RS
599,TSLA,42,RS,99,39,57,0.00534304993494498,12,0.933334225929266,0.9195787864960036,0.02803703099851417,0.9195787864960036,0.02803703099851417,3.0,0.0,RS
652,TSLA,10,RS,114,20,63,0.00907590944235609,78,0.9328929724526106,2.613599013079815,0.012990509441194467,2.613599013079815,0.012990509441194465,6.0,0.003,RS
652,TSLA,10,RS,120,13,78,0.0009708883132529756,35,0.5422258382993519,3.442872209334226,0.01692590207723074,3.442872209334226,0.01692590207723074,10.0,0.003,RS
652,TSLA,20,RS,55,13,78,0.005321843469114822,60,0.6979490132447195,6.132016900069415,0.0076877807602967,6.132016900069415,0.0076877807602967,5.0,0.003,RS
652,TSLA,20,RS,78,39,36,0.0015096114380545467,77,0.9118211957407566,4.2740202250922605,0.0035641082194314963,4.2740202250922605,0.0035641082194314967,4.0,0.003,RS
652,TSLA,42,RS,38,14,48,0.004824725948987165,44,0.8699683018764485,4.0354758890062,0.005407908682123411,4.0354758890062,0.005407908682123411,1.0,0.0,RS
652,TSLA,42,RS,70,28,75,0.007980792392396754,27,0.734880659654093,5.084945798846786,0.018757231420808443,5.084945798846786,0.018757231420808443,5.0,0.0,RS
246,GOOGL,10,RS,108,15,59,0.0005791202656733152,74,0.9263352990896904,4.622351350067451,0.0007000000000000174,4.622351350067451,0.0007000000000000173,6.0,0.003,RS
246,GOOGL,20,RS,22,27,64,0.0008312247106916364,27,0.8988746527103882,2.0694047185853184,0.0047095172792303314,2.0694047185853184,0.0047095172792303314,4.0,0.003,RS
246,GOOGL,20,RS,46,35,70,0.0056098406454779485,54,0.7138156042476822,4.066203351492971,0.01136255269467764,4.066203351492971,0.011362552694677638,8.0,0.003,RS
246,GOOGL,20,RS,79,18,81,0.0025021340519771388,31,0.9448576415280168,1.4790837682639237,0.0006999999999999984,1.4790837682639237,0.0006999999999999985,4.0,0.003,RS
246,GOOGL,20,RS,105,21,45,0.0073052682671754104,64,0.6243551523213476,4.960526309709804,0.01808363236085137,4.960526309709804,0.01808363236085137,8.0,0.003,RS
246,GOOGL,42,RS,19,22,38,0.0010113676407571687,40,0.8192763185284068,6.0350518214413515,0.001749102652076839,6.0350518214413515,0.001749102652076839,4.0,0.0,RS
246,GOOGL,42,RS,77,11,92,0.0040835808357805505,14,0.8515442010011514,5.600721425011635,0.0006999999999999534,5.600721425011635,0.0006999999999999534,2.0,0.0,RS
216,GOOGL,10,RS,118,22,71,0.007199997609096308,68,0.9474231880508732,3.897484557827683,0.0007000000000001454,3.897484557827683,0.0007000000000001453,7.0,0.003,RS
216,GOOGL,20,RS,86,10,87,0.009266696720329726,42,0.7814400970146138,6.163715164641212,0.008878576779338159,6.163715164641212,0.008878576779338159,8.0,0.003,RS
216,GOOGL,42,RS,58,22,80,0.004187243081073896,10,0.8581954209535579,5.596414692480563,0.0007000000000000774,5.596414692480563,0.0007000000000000774,2.0,0.0,RS
