fold_id,ticker,retrain_interval,stage,iter,window,units,learning_rate,epochs,threshold,sharpe,mdd,raw_sharpe,raw_mdd,turnover,penalty,front_type,pick
553,NVDA,10,RS,44,32,73,0.002496232,67,0.575592064,14.568726213454386,0.0007,14.568726213454386,0.0007,2,0.006777645,RS,knee_rs
553,NVDA,20,RS,9,14,58,0.00403398,36,0.5199921307348633,13.226431053850265,0,13.226431053850265,0,1,0.004471482,RS,knee_rs
,,,,,,,,,,,,,,,,,553,NVDA,42,RS,120,10,92,0.009389176808602571,68,0.6642990831326284,10.539385597461589,0.0,10.539385597461589,0.0,1.0,0.0,RS,knee_rs
564,NVDA,10,RS,101,22,36,0.005269934974127286,65,0.8480892156299593,4.468964053047661,0.009906280151255265,4.468964053047661,0.009906280151255263,12.0,0.003,RS,knee_rs
564,NVDA,20,RS,85,11,34,0.003789842066790202,13,0.9105773434604376,5.188421069720932,0.0006999999999999398,5.188421069720932,0.0006999999999999397,6.0,0.003,RS,knee_rs
564,NVDA,42,RS,65,35,35,0.008942146057669888,26,0.8592551685688541,4.858662742588777,0.010866289187132661,4.858662742588777,0.010866289187132661,2.0,0.0,RS,knee_rs
159,AMZN,10,RS,92,29,64,0.004214339990959371,30,0.7077920133449587,7.607719752129492,0.001243243073298382,7.607719752129492,0.0012432430732983817,11.0,0.003,RS,knee_rs
159,AMZN,20,RS,115,18,35,0.00879236153271549,32,0.6348374437712493,5.286889461539517,0.001243243073298132,5.286889461539517,0.0012432430732981323,12.0,0.003,RS,knee_rs
159,AMZN,42,RS,8,17,86,0.004223765218945924,33,0.643695016967235,7.2288959461260065,0.0006999999999999882,7.2288959461260065,0.0006999999999999882,14.0,0.0,RS,knee_rs
347,META,10,RS,65,12,59,0.00649510588768589,56,0.7114849629106967,5.431890948416828,0.004761816279314297,5.431890948416828,0.004761816279314297,10.0,0.003,RS,knee_rs
347,META,20,RS,11,21,61,0.0028727529425102037,80,0.5977579845043989,5.233621572955593,0.008173123049419046,5.233621572955593,0.008173123049419044,10.0,0.003,RS,knee_rs
347,META,42,RS,89,35,32,0.0028428204827253027,21,0.7813002162807491,5.149729029913532,0.007380690237324549,5.149729029913532,0.007380690237324549,2.0,0.0,RS,knee_rs
206,AMZN,10,RS,43,34,88,0.0046877207773078225,59,0.9423031278873163,4.527409217487499,0.0007000000000001393,4.527409217487499,0.0007000000000001392,8.0,0.003,RS,knee_rs
206,AMZN,20,RS,113,29,65,0.0022318206160251955,14,0.9492946088866167,3.1102107879324503,0.0006999999999999784,3.1102107879324503,0.0006999999999999786,4.0,0.003,RS,knee_rs
206,AMZN,42,RS,83,18,44,0.0064113733628583915,80,0.8996388808017147,3.078326910531327,0.01418830369671413,3.078326910531327,0.01418830369671413,4.0,0.0,RS,knee_rs
364,META,10,RS,115,15,38,0.0011436950199986214,41,0.6760048882845922,6.484055219722346,0.006563976007100121,6.484055219722346,0.006563976007100122,12.0,0.003,RS,knee_rs
364,META,20,RS,45,11,96,0.0017902652342774391,28,0.7402534266168361,7.8276832014014275,0.0007000000000000634,7.8276832014014275,0.0007000000000000634,7.0,0.003,RS,knee_rs
364,META,42,RS,75,11,58,0.0031395284464775966,36,0.5641291226402659,6.278733242903558,0.011079810602239072,6.278733242903558,0.011079810602239072,12.0,0.0,RS,knee_rs
444,MSFT,10,RS,120,30,45,0.00808824182411747,62,0.5928077354929032,5.102240185697416,0.010176410083228258,5.102240185697416,0.010176410083228256,10.0,0.003,RS,knee_rs
444,MSFT,20,RS,34,29,48,0.009723324061463636,46,0.5708419997728402,5.087808851815039,0.009483048216980115,5.087808851815039,0.009483048216980114,12.0,0.003,RS,knee_rs
444,MSFT,42,RS,73,17,42,0.0018130673164022879,39,0.8110911581232036,4.15085726049847,0.0028382513401490816,4.15085726049847,0.0028382513401490816,8.0,0.0,RS,knee_rs
400,MSFT,10,RS,103,30,37,0.0045118334295458215,59,0.7202588970193721,6.656000366181896,0.0035999692336190943,6.656000366181896,0.0035999692336190943,8.0,0.003,RS,knee_rs
400,MSFT,20,RS,112,16,47,0.0011207426264639158,29,0.5033411550015783,5.865029759889626,0.005507987669815711,5.865029759889626,0.005507987669815711,16.0,0.003,RS,knee_rs
400,MSFT,42,RS,81,38,80,0.006795889678527363,44,0.919820642979523,3.703288848228958,0.0011367742996157312,3.703288848228958,0.0011367742996157312,8.0,0.0,RS,knee_rs
35,AAPL,10,RS,87,11,40,0.00852735487337625,55,0.7778131647028339,6.092761679524458,0.0011367149218681006,6.092761679524458,0.001136714921868101,9.0,0.003,RS,knee_rs
35,AAPL,20,RS,73,15,45,0.009984923760462346,30,0.7986214759917558,5.354371870746454,0.003015882047786244,5.354371870746454,0.003015882047786244,6.0,0.003,RS,knee_rs
35,AAPL,42,RS,75,38,95,0.0014161191888948312,50,0.6028907460272859,6.351057131821555,0.005247423253072924,6.351057131821555,0.005247423253072924,5.0,0.0,RS,knee_rs
599,TSLA,10,RS,73,36,51,0.006148498174873574,26,0.8066254482026495,3.4582600255703304,0.009280836133353725,3.4582600255703304,0.009280836133353723,10.0,0.003,RS,knee_rs
599,TSLA,20,RS,98,38,68,0.007214766631485735,73,0.5632112841576071,5.181952198887109,0.007448804660483707,5.181952198887109,0.007448804660483707,16.0,0.003,RS,knee_rs
599,TSLA,42,RS,81,17,40,0.0030400097818741962,25,0.852313738868992,2.3987340334600553,0.028717405076815198,2.3987340334600553,0.028717405076815198,8.0,0.0,RS,knee_rs
652,TSLA,10,RS,120,13,78,0.0009708883132529756,35,0.5422258382993519,3.442872209334226,0.01692590207723074,3.442872209334226,0.01692590207723074,10.0,0.003,RS,knee_rs
652,TSLA,20,RS,55,13,78,0.005321843469114822,60,0.6979490132447195,6.132016900069415,0.0076877807602967,6.132016900069415,0.0076877807602967,5.0,0.003,RS,knee_rs
652,TSLA,42,RS,70,28,75,0.007980792392396754,27,0.734880659654093,5.084945798846786,0.018757231420808443,5.084945798846786,0.018757231420808443,5.0,0.0,RS,knee_rs
246,GOOGL,10,RS,108,15,59,0.0005791202656733152,74,0.9263352990896904,4.622351350067451,0.0007000000000000174,4.622351350067451,0.0007000000000000173,6.0,0.003,RS,knee_rs
246,GOOGL,20,RS,46,35,70,0.0056098406454779485,54,0.7138156042476822,4.066203351492971,0.01136255269467764,4.066203351492971,0.011362552694677638,8.0,0.003,RS,knee_rs
246,GOOGL,42,RS,19,22,38,0.0010113676407571687,40,0.8192763185284068,6.0350518214413515,0.001749102652076839,6.0350518214413515,0.001749102652076839,4.0,0.0,RS,knee_rs
216,GOOGL,10,RS,118,22,71,0.007199997609096308,68,0.9474231880508732,3.897484557827683,0.0007000000000001454,3.897484557827683,0.0007000000000001453,7.0,0.003,RS,knee_rs
216,GOOGL,20,RS,86,10,87,0.009266696720329726,42,0.7814400970146138,6.163715164641212,0.008878576779338159,6.163715164641212,0.008878576779338159,8.0,0.003,RS,knee_rs
216,GOOGL,42,RS,58,22,80,0.004187243081073896,10,0.8581954209535579,5.596414692480563,0.0007000000000000774,5.596414692480563,0.0007000000000000774,2.0,0.0,RS,knee_rs
