Fold,Interval,HV (GA),HV (GA+BO),Î”HV
259,10,0.0372121705450666,0.0375144689686535,0.0003022984235869011
80,10,0.0180840476979305,0.0182331150157795,0.00014906731784899985
584,10,0.3994992519764662,0.3995260023522158,2.6750375749617916e-05
634,10,0.0077942645378841,0.0077942653440935,8.062094004543385e-10
584,20,0.0505718431083691,0.0506778840296005,0.00010604092123140535
113,20,0.1530436605161398,0.1530760308264592,3.237031031941284e-05
634,20,0.0245762540884362,0.0245822839572579,6.0298688216997576e-06
444,20,0.0094260928698902,0.0094290288374566,2.935967566399314e-06
259,20,0.0012083417358994,0.0012110110312453,2.6692953459001457e-06
206,20,0.0158249236103089,0.0158249949474432,7.133713430043653e-08
113,42,0.1050365705482928,0.1051071651168504,7.059456855761093e-05
35,42,0.0808928861713468,0.0808941751147281,1.288943381305696e-06
