stage,fold_id,iter,p,q,rmse,is_best_so_far
BO,35,1,1,1,0.0166920631601144,True
BO,35,2,6,2,0.0167446667481081,False
BO,35,3,6,5,0.016581179768642,True
BO,35,4,4,2,0.0167411678476992,False
BO,35,5,4,3,0.0166707655800415,False
BO,35,6,2,5,0.0167702954004286,False
BO,35,7,1,5,0.0167516031490293,False
BO,35,8,7,1,0.0168044335318702,False
BO,35,9,7,5,0.0165826452298739,False
BO,35,10,5,1,0.0167006593322681,False
BO,35,11,1,4,0.0166708444888802,False
BO,35,12,3,5,0.0166375956633177,False
BO,35,13,7,6,0.0168086258595024,False
BO,35,14,5,5,0.0165870753847326,False
BO,35,15,1,2,0.0166875133067482,False
BO,35,16,2,6,0.0168608438380378,False
BO,35,17,5,2,0.0166924170740233,False
BO,35,18,7,2,0.0167606290004934,False
BO,35,19,6,1,0.0167004085508949,False
BO,35,20,1,6,0.0167803732567878,False
BO,35,21,2,5,0.0167702954004286,False
BO,35,22,5,6,0.0166951446290623,False
BO,35,23,4,5,0.0165721028248721,True
BO,35,24,2,3,0.0167170116927453,False
BO,35,25,6,3,0.0167267586778058,False
BO,35,26,3,4,0.0166557437435539,False
BO,35,27,5,4,0.0165432452564336,True
BO,35,28,6,4,0.0166186801429329,False
BO,35,29,4,4,0.0166387057902154,False
BO,35,30,6,4,0.0166186801429329,False
BO,35,31,4,2,0.0167411678476992,False
BO,35,32,4,4,0.0166387057902154,False
BO,35,33,4,3,0.0166707655800415,False
BO,35,34,3,7,0.0168535657879636,False
BO,35,35,5,5,0.0165870753847326,False
BO,35,36,4,6,0.0167896675684162,False
BO,35,37,7,5,0.0165826452298739,False
BO,35,38,6,4,0.0166186801429329,False
BO,35,39,4,6,0.0167896675684162,False
BO,35,40,6,7,0.0168010166229336,False
BO,35,41,5,5,0.0165870753847326,False
BO,35,42,7,7,0.0167937280920419,False
BO,35,43,4,7,0.0168340814345392,False
BO,35,44,3,4,0.0166557437435539,False
BO,35,45,4,6,0.0167896675684162,False
BO,35,46,4,2,0.0167411678476992,False
BO,35,47,2,6,0.0168608438380378,False
BO,35,48,5,4,0.0165432452564336,True
BO,35,49,3,6,0.0167589520194561,False
BO,35,50,7,4,0.0165629045819738,False
BO,35,51,4,5,0.0165721028248721,False
BO,80,1,1,1,0.0121665395165925,True
BO,80,2,6,2,0.0121963260334337,False
BO,80,3,6,5,0.012280588827395,False
BO,80,4,4,2,0.0121618152335362,True
BO,80,5,4,3,0.012162437082431,False
BO,80,6,2,5,0.0122041495985794,False
BO,80,7,1,5,0.0122108887082718,False
BO,80,8,7,1,0.0121757758636308,False
BO,80,9,7,5,0.0123102609601791,False
BO,80,10,5,1,0.0122052035890141,False
BO,80,11,1,4,0.012180954436299,False
BO,80,12,3,5,0.0122113259252725,False
BO,80,13,2,2,0.0121679390929172,False
BO,80,14,3,3,0.0121622327374942,False
BO,80,15,1,2,0.012168852510832,False
BO,80,16,2,6,0.0122040338087695,False
BO,80,17,1,3,0.0121674113297779,False
BO,80,18,5,5,0.0122477987702202,False
BO,80,19,3,2,0.0121679310675563,False
BO,80,20,1,6,0.0122010216148566,False
BO,80,21,1,7,0.012188157069582,False
BO,80,22,2,3,0.012187228109382,False
BO,80,23,2,1,0.0121662050518738,False
BO,80,24,6,6,0.0122414940919442,False
BO,80,25,4,7,0.012227269251951,False
BO,80,26,3,6,0.0121956646764892,False
BO,80,27,5,3,0.0122254358665937,False
BO,80,28,7,6,0.0122383614105812,False
BO,80,29,3,1,0.0121640575668494,False
BO,80,30,4,4,0.0122084100813958,False
BO,80,31,4,7,0.012227269251951,False
BO,80,32,7,2,0.0121925063904214,False
BO,80,33,7,7,0.0122236001222523,False
BO,80,34,4,1,0.0121619460190738,False
BO,80,35,2,4,0.0121817883682485,False
BO,80,36,6,3,0.0121987859101833,False
BO,80,37,2,7,0.0121524251154959,True
BO,80,38,3,7,0.0121675325690598,False
BO,80,39,5,2,0.0121874968227722,False
BO,80,40,5,6,0.0122144846919754,False
BO,80,41,6,4,0.0121439866561012,True
BO,80,42,7,4,0.0122202418450259,False
BO,80,43,3,4,0.0121844481325593,False
BO,80,44,6,7,0.0122124363383241,False
BO,80,45,1,4,0.012180954436299,False
BO,80,46,7,5,0.0123102609601791,False
BO,80,47,3,5,0.0122113259252725,False
BO,80,48,5,2,0.0121874968227722,False
BO,80,49,7,3,0.0122340163683609,False
BO,80,50,6,2,0.0121963260334337,False
BO,80,51,1,7,0.012188157069582,False
BO,113,1,1,1,0.0259429361216554,True
BO,113,2,6,2,0.0266487654181115,False
BO,113,3,6,5,0.0265750396988298,False
BO,113,4,4,2,0.0261994187890416,False
BO,113,5,4,3,0.0264181344812081,False
BO,113,6,2,5,0.0260818668159633,False
BO,113,7,1,5,0.0261172372487835,False
BO,113,8,7,1,0.0263628388858071,False
BO,113,9,7,5,0.0271661649603477,False
BO,113,10,5,1,0.0263909416917395,False
BO,113,11,1,4,0.0260819166052498,False
BO,113,12,3,5,0.0266524594971129,False
BO,113,13,5,7,0.0273063100477154,False
BO,113,14,1,3,0.0259684459495068,False
BO,113,15,4,6,0.0262861558746568,False
BO,113,16,1,2,0.0260170081182892,False
BO,113,17,2,1,0.0260584379918302,False
BO,113,18,3,1,0.0261503777832413,False
BO,113,19,3,4,0.026495165061921,False
BO,113,20,2,7,0.0271595967900695,False
BO,113,21,2,3,0.0260553460771646,False
BO,113,22,4,5,0.0265311948168637,False
BO,113,23,6,3,0.0262667795780263,False
BO,113,24,7,2,0.0269472173949351,False
BO,113,25,5,2,0.026545624746081,False
BO,113,26,3,2,0.0260641104881994,False
BO,113,27,6,6,0.026384138504047,False
BO,113,28,7,4,0.0266498811737062,False
BO,113,29,5,4,0.0267160750373722,False
BO,113,30,5,3,0.0263162190709398,False
BO,113,31,3,3,0.0260344271691532,False
BO,113,32,1,6,0.0266366409671753,False
BO,113,33,6,2,0.0266487654181115,False
BO,113,34,7,7,0.0267880224568834,False
BO,113,35,2,2,0.0259750121856826,False
BO,113,36,4,1,0.0262198382487257,False
BO,113,37,6,4,0.0269708523323559,False
BO,113,38,4,4,0.0268189096012904,False
BO,113,39,7,6,0.0270178725808608,False
BO,113,40,6,7,0.0266564096391814,False
BO,113,41,2,4,0.0260323664274138,False
BO,113,42,5,6,0.0264448658728634,False
BO,113,43,7,3,0.0265684551702392,False
BO,113,44,3,4,0.026495165061921,False
BO,113,45,4,7,0.0271907866390628,False
BO,113,46,5,3,0.0263162190709398,False
BO,113,47,5,2,0.026545624746081,False
BO,113,48,4,5,0.0265311948168637,False
BO,113,49,4,5,0.0265311948168637,False
BO,113,50,4,5,0.0265311948168637,False
BO,113,51,4,2,0.0261994187890416,False
BO,206,1,1,1,0.0119777103516848,True
BO,206,2,6,2,0.0119113192386759,True
BO,206,3,6,5,0.0119316835617349,False
BO,206,4,4,2,0.0119370339238974,False
BO,206,5,4,3,0.0119157642876838,False
BO,206,6,2,5,0.0120355355616887,False
BO,206,7,1,5,0.0118931351337604,True
BO,206,8,7,1,0.0119665218938827,False
BO,206,9,7,5,0.0120379175754496,False
BO,206,10,5,1,0.0119078162054019,False
BO,206,11,1,4,0.0118899792116942,True
BO,206,12,3,5,0.0118639940196659,True
BO,206,13,3,2,0.0119550125805191,False
BO,206,14,3,7,0.0121342324377639,False
BO,206,15,3,4,0.0119471762105829,False
BO,206,16,1,3,0.0119696582763942,False
BO,206,17,1,6,0.011898531491185,False
BO,206,18,1,7,0.0120393088521032,False
BO,206,19,5,2,0.0119013367431932,False
BO,206,20,5,3,0.0119385295132461,False
BO,206,21,6,3,0.0118912962560115,False
BO,206,22,2,4,0.0119683420751195,False
BO,206,23,6,4,0.0121043327208999,False
BO,206,24,6,6,0.011974658853895,False
BO,206,25,7,3,0.0118489122091901,True
BO,206,26,3,6,0.011893359433333,False
BO,206,27,7,2,0.0119287641853673,False
BO,206,28,4,6,0.012267523199247,False
BO,206,29,7,6,0.0119638441668552,False
BO,206,30,5,6,0.0122619295311328,False
BO,206,31,2,6,0.0119946751775121,False
BO,206,32,4,1,0.0119376860743541,False
BO,206,33,6,1,0.0119129339281786,False
BO,206,34,4,4,0.0119085230424453,False
BO,206,35,7,7,0.0117000767643358,True
BO,206,36,5,5,0.0119154540214384,False
BO,206,37,5,6,0.0122619295311328,False
BO,206,38,2,7,0.0121344409046813,False
BO,206,39,3,4,0.0119471762105829,False
BO,206,40,3,2,0.0119550125805191,False
BO,206,41,3,3,0.0118858052696519,False
BO,206,42,2,1,0.0119556731978975,False
BO,206,43,3,6,0.011893359433333,False
BO,206,44,2,5,0.0120355355616887,False
BO,206,45,4,6,0.012267523199247,False
BO,206,46,4,7,0.0120819201818093,False
BO,206,47,2,4,0.0119683420751195,False
BO,206,48,5,4,0.0119565467402885,False
BO,206,49,5,4,0.0119565467402885,False
BO,206,50,4,5,0.0121374162829153,False
BO,206,51,5,1,0.0119078162054019,False
BO,35,1,5,4,0.0165432452564336,True
BO,35,2,4,5,0.0165721028248721,False
BO,35,3,6,5,0.016581179768642,False
BO,35,4,5,5,0.0165870753847326,False
BO,35,5,6,4,0.0166186801429329,False
BO,35,6,6,2,0.0167446667481081,False
BO,35,7,6,5,0.016581179768642,False
BO,35,8,4,2,0.0167411678476992,False
BO,35,9,4,3,0.0166707655800415,False
BO,35,10,2,5,0.0167702954004286,False
BO,35,11,1,5,0.0167516031490293,False
BO,35,12,7,1,0.0168044335318702,False
BO,35,13,7,5,0.0165826452298739,False
BO,35,14,5,1,0.0167006593322681,False
BO,35,15,1,4,0.0166708444888802,False
BO,35,16,3,5,0.0166375956633177,False
BO,35,17,4,4,0.0166387057902154,False
BO,35,18,7,6,0.0168086258595024,False
BO,35,19,1,2,0.0166875133067482,False
BO,35,20,2,6,0.0168608438380378,False
BO,35,21,1,1,0.0166920631601144,False
BO,35,22,1,3,0.0166832123251119,False
BO,35,23,1,3,0.0166832123251119,False
BO,35,24,3,1,0.0166648299115127,False
BO,35,25,6,1,0.0167004085508949,False
BO,35,26,2,2,0.0166712967926086,False
BO,35,27,5,2,0.0166924170740233,False
BO,35,28,7,3,0.016802333522428,False
BO,35,29,1,7,0.0169046447419036,False
BO,35,30,5,3,0.0167215946072788,False
BO,35,31,3,3,0.0166096858639149,False
BO,35,32,7,2,0.0167606290004934,False
BO,35,33,3,7,0.0168535657879636,False
BO,35,34,6,3,0.0167267586778058,False
BO,35,35,6,7,0.0168010166229336,False
BO,35,36,2,7,0.0168900575778939,False
BO,35,37,3,4,0.0166557437435539,False
BO,35,38,5,5,0.0165870753847326,False
BO,35,39,5,5,0.0165870753847326,False
BO,35,40,5,6,0.0166951446290623,False
BO,35,41,2,2,0.0166712967926086,False
BO,35,42,2,2,0.0166712967926086,False
BO,35,43,2,4,0.0166655909330578,False
BO,35,44,2,6,0.0168608438380378,False
BO,35,45,5,5,0.0165870753847326,False
BO,35,46,7,7,0.0167937280920419,False
BO,35,47,4,7,0.0168340814345392,False
BO,35,48,3,4,0.0166557437435539,False
BO,35,49,4,6,0.0167896675684162,False
BO,35,50,4,2,0.0167411678476992,False
BO,35,51,2,6,0.0168608438380378,False
BO,35,52,5,4,0.0165432452564336,True
BO,35,53,3,6,0.0167589520194561,False
BO,35,54,3,7,0.0168535657879636,False
BO,35,55,4,1,0.0166827968399921,False
BO,80,1,4,2,0.0121618152335362,True
BO,80,2,4,1,0.0121619460190738,False
BO,80,3,4,3,0.012162437082431,False
BO,80,4,3,1,0.0121640575668494,False
BO,80,5,2,1,0.0121662050518738,False
BO,80,6,6,2,0.0121963260334337,False
BO,80,7,6,5,0.012280588827395,False
BO,80,8,4,2,0.0121618152335362,True
BO,80,9,4,3,0.012162437082431,False
BO,80,10,2,5,0.0122041495985794,False
BO,80,11,1,5,0.0122108887082718,False
BO,80,12,7,1,0.0121757758636308,False
BO,80,13,7,5,0.0123102609601791,False
BO,80,14,5,1,0.0122052035890141,False
BO,80,15,1,4,0.012180954436299,False
BO,80,16,3,5,0.0122113259252725,False
BO,80,17,1,2,0.012168852510832,False
BO,80,18,2,3,0.012187228109382,False
BO,80,19,1,1,0.0121665395165925,False
BO,80,20,2,6,0.0122040338087695,False
BO,80,21,3,2,0.0121679310675563,False
BO,80,22,5,5,0.0122477987702202,False
BO,80,23,1,3,0.0121674113297779,False
BO,80,24,1,6,0.0122010216148566,False
BO,80,25,1,7,0.012188157069582,False
BO,80,26,2,4,0.0121817883682485,False
BO,80,27,4,6,0.0122063238382723,False
BO,80,28,6,6,0.0122414940919442,False
BO,80,29,4,7,0.012227269251951,False
BO,80,30,3,6,0.0121956646764892,False
BO,80,31,5,3,0.0122254358665937,False
BO,80,32,7,6,0.0122383614105812,False
BO,80,33,3,3,0.0121622327374942,False
BO,80,34,4,4,0.0122084100813958,False
BO,80,35,7,2,0.0121925063904214,False
BO,80,36,7,7,0.0122236001222523,False
BO,80,37,7,3,0.0122340163683609,False
BO,80,38,6,2,0.0121963260334337,False
BO,80,39,4,6,0.0122063238382723,False
BO,80,40,5,6,0.0122144846919754,False
BO,80,41,4,5,0.0122247938253863,False
BO,80,42,5,3,0.0122254358665937,False
BO,80,43,3,4,0.0121844481325593,False
BO,80,44,3,2,0.0121679310675563,False
BO,80,45,6,3,0.0121987859101833,False
BO,80,46,4,4,0.0122084100813958,False
BO,80,47,3,6,0.0121956646764892,False
BO,80,48,2,5,0.0122041495985794,False
BO,80,49,4,6,0.0122063238382723,False
BO,80,50,5,3,0.0122254358665937,False
BO,80,51,5,2,0.0121874968227722,False
BO,80,52,2,2,0.0121679390929172,False
BO,80,53,2,7,0.0121524251154959,True
BO,80,54,6,4,0.0121439866561012,True
BO,80,55,7,4,0.0122202418450259,False
BO,113,1,1,1,0.0259429361216554,True
BO,113,2,1,3,0.0259684459495068,False
BO,113,3,2,2,0.0259750121856826,False
BO,113,4,1,2,0.0260170081182892,False
BO,113,5,2,4,0.0260323664274138,False
BO,113,6,6,2,0.0266487654181115,False
BO,113,7,6,5,0.0265750396988298,False
BO,113,8,4,2,0.0261994187890416,False
BO,113,9,4,3,0.0264181344812081,False
BO,113,10,2,5,0.0260818668159633,False
BO,113,11,1,5,0.0261172372487835,False
BO,113,12,7,1,0.0263628388858071,False
BO,113,13,7,5,0.0271661649603477,False
BO,113,14,5,1,0.0263909416917395,False
BO,113,15,1,4,0.0260819166052498,False
BO,113,16,4,7,0.0271907866390628,False
BO,113,17,3,1,0.0261503777832413,False
BO,113,18,3,7,0.0271877101859742,False
BO,113,19,2,2,0.0259750121856826,False
BO,113,20,4,5,0.0265311948168637,False
BO,113,21,7,7,0.0267880224568834,False
BO,113,22,1,7,0.0269926370568833,False
BO,113,23,2,3,0.0260553460771646,False
BO,113,24,2,1,0.0260584379918302,False
BO,113,25,6,1,0.0263597839790799,False
BO,113,26,3,2,0.0260641104881994,False
BO,113,27,5,2,0.026545624746081,False
BO,113,28,7,3,0.0265684551702392,False
BO,113,29,5,5,0.0264126884682371,False
BO,113,30,1,6,0.0266366409671753,False
BO,113,31,6,3,0.0262667795780263,False
BO,113,32,5,4,0.0267160750373722,False
BO,113,33,7,3,0.0265684551702392,False
BO,113,34,4,4,0.0268189096012904,False
BO,113,35,2,4,0.0260323664274138,False
BO,113,36,3,3,0.0260344271691532,False
BO,113,37,7,5,0.0271661649603477,False
BO,113,38,3,4,0.026495165061921,False
BO,113,39,2,5,0.0260818668159633,False
BO,113,40,2,7,0.0271595967900695,False
BO,113,41,5,3,0.0263162190709398,False
BO,113,42,5,6,0.0264448658728634,False
BO,113,43,4,3,0.0264181344812081,False
BO,113,44,6,3,0.0262667795780263,False
BO,113,45,3,3,0.0260344271691532,False
BO,113,46,6,5,0.0265750396988298,False
BO,113,47,2,6,0.0261990704486316,False
BO,113,48,3,6,0.0264708720651499,False
BO,113,49,3,4,0.026495165061921,False
BO,113,50,5,2,0.026545624746081,False
BO,113,51,4,4,0.0268189096012904,False
BO,113,52,5,6,0.0264448658728634,False
BO,113,53,3,2,0.0260641104881994,False
BO,113,54,7,2,0.0269472173949351,False
BO,113,55,6,5,0.0265750396988298,False
BO,206,1,3,5,0.0118639940196659,True
BO,206,2,1,4,0.0118899792116942,False
BO,206,3,1,5,0.0118931351337604,False
BO,206,4,3,6,0.011893359433333,False
BO,206,5,1,6,0.011898531491185,False
BO,206,6,6,2,0.0119113192386759,False
BO,206,7,6,5,0.0119316835617349,False
BO,206,8,4,2,0.0119370339238974,False
BO,206,9,4,3,0.0119157642876838,False
BO,206,10,2,5,0.0120355355616887,False
BO,206,11,1,5,0.0118931351337604,False
BO,206,12,7,1,0.0119665218938827,False
BO,206,13,7,5,0.0120379175754496,False
BO,206,14,5,1,0.0119078162054019,False
BO,206,15,1,4,0.0118899792116942,False
BO,206,16,3,1,0.0119608668489269,False
BO,206,17,4,7,0.0120819201818093,False
BO,206,18,5,5,0.0119154540214384,False
BO,206,19,1,1,0.0119777103516848,False
BO,206,20,3,4,0.0119471762105829,False
BO,206,21,5,3,0.0119385295132461,False
BO,206,22,5,7,0.0120988083303068,False
BO,206,23,6,7,0.0122974073374623,False
BO,206,24,4,5,0.0121374162829153,False
BO,206,25,6,4,0.0121043327208999,False
BO,206,26,2,4,0.0119683420751195,False
BO,206,27,4,6,0.012267523199247,False
BO,206,28,6,6,0.011974658853895,False
BO,206,29,6,1,0.0119129339281786,False
BO,206,30,1,3,0.0119696582763942,False
BO,206,31,1,7,0.0120393088521032,False
BO,206,32,7,6,0.0119638441668552,False
BO,206,33,5,2,0.0119013367431932,False
BO,206,34,4,4,0.0119085230424453,False
BO,206,35,3,7,0.0121342324377639,False
BO,206,36,2,2,0.0119720907246947,False
BO,206,37,7,3,0.0118489122091901,True
BO,206,38,7,2,0.0119287641853673,False
BO,206,39,6,3,0.0118912962560115,False
