fold_id,retrain_interval,layers,batch_size,dropout,knee_window,knee_units,knee_lr,knee_epochs,knee_rel_thresh,knee_sharpe,knee_mdd,knee_turnover,knee_penalty
553,10,2,29,0.2058048055794204,20,40,0.000722928,15,0.6,14.562859030411007,0.006567183,2,0.005867183
553,20,2,29,0.2058048055794204,19,39,0.00100011,20,0.6030596654596854,13.310509598846869,0.00426102,2,0.00356102
553,42,2,29,0.2058048055794204,20,48,0.000502056,30,0.49813475501186605,13.108441464312541,0.0007,3,0
564,10,2,21,0.17998771774261663,20,36,0.000517308,30,0.7,4.327887111745683,0.027561241,9,0
564,20,2,21,0.17998771774261663,20,36,0.00050373,27,0.7,5.397323080274527,0.010866289187132819,11,0
564,42,2,21,0.17998771774261663,20,36,0.001002426,20,0.7036704325491865,5.596431718428349,0.010866289187132727,9,0
159,10,1,17,0.19035368651231163,20,40,0.001,30,0.49901345075011094,7.859782210115052,0.008483051,13,0
159,20,1,17,0.19035368651231163,21,36,0.0005,24,0.7000005086464487,6.988113690426756,0.00139951,12,0
159,42,1,17,0.19035368651231163,20,36,0.002711246,20,0.6443000171780047,7.6425169002838365,0.004596525,14,0
206,10,1,23,0.1732890275900272,20,36,0.00066544,38,0.7,4.522233452317139,0.014946084079767614,10,0
206,20,1,23,0.1732890275900272,20,41,0.001001301,20,0.7091376470756782,3.7204957359634956,0.014467552981601312,15,0
206,42,1,23,0.1732890275900272,20,36,0.000989106,31,0.7,5.332973756156017,0.013086357469743837,9,0
347,10,1,31,0.1951981984579586,20,43,0.001199494,30,0.7447434230707403,5.663516039373011,0.005493123,11,0
347,20,1,31,0.1951981984579586,23,36,0.000998833,20,0.5366520438948496,5.935072806775221,0.00385652,11,0
347,42,1,31,0.1951981984579586,10,119,0.001737,14,0.872,5.654435816753201,0.0007,12,0
364,10,1,22,0.18935020407164796,21,36,0.002030895,20,0.5,7.912571591559717,0.001549869,15,0
364,20,1,22,0.18935020407164796,20,35,0.000203864,30,0.7,6.8125111513401695,0.011814364,9,0
364,42,1,22,0.18935020407164796,20,36,0.000858543,13,0.6222812297026794,6.045416314,0.012304233281278915,5,0
400,10,1,31,0.091715981,13,36,0.00272811,30,0.7889077453563774,6.338333975303487,0.003599969,11,0
400,20,1,31,0.091715981,20,39,0.000501831,30,0.6942627997079546,5.697798590300404,0.004481415,9,0
400,42,1,31,0.091715981,19,36,0.000320568,30,0.6,6.733249702657504,0.003936973,11,0
444,10,1,27,0.18655426818523818,20,36,0.001,30,0.49013095223198083,4.325818819870079,0.009483048,15,0
444,20,1,27,0.18655426818523818,20,36,0.000984348,20,0.6007866318366754,5.869819425648663,0.008996004,9,0
444,42,1,27,0.18655426818523818,20,36,0.000356709,27,0.7822180354849305,5.2586333263336495,0.001809126,5,0
216,10,2,29,0.5,20,36,0.002,20,0.5,5.463703805497106,0.017988294089211834,11,0
216,20,2,29,0.5,10,119,0.001737,14,0.872,5.978844378561571,0.00139951,9,0
216,42,2,29,0.5,21,36,0.001163364,20,0.7472950204569994,6.250455299222661,0.00139951,7,0
246,10,2,28,0.2971061460667621,10,38,0.007015,26,0.823,3.400423418179631,0.017094749436656016,12,0
246,20,2,28,0.2971061460667621,20,36,0.001918038,20,0.5409170221832547,6.2025869063819465,0.009598769,10,0
246,42,2,28,0.2971061460667621,20,36,0.001239401,20,0.7,7.516391258924191,0.003329927,10,0
3,10,2,19,0.046295112,20,33,0.000975767,30,0.6,5.112463419323216,0.014254475406025056,10,0.000111498
3,20,2,19,0.046295112,19,36,0.000535353,27,0.7077362833090478,6.575455235663525,0.004790028,5,0.000111498
3,42,2,19,0.046295112,21,36,0.001,30,0.49172523808172147,3.9099533546815177,0.013214108279616003,6,0
35,10,2,25,0.063465229,20,36,0.000166113,20,0.6760491776978126,7.126297737277828,0.001328363,14,0.000426476
35,20,2,25,0.063465229,20,36,0.002434859,20,0.7,5.174696757173215,0.004140247,6,0.000426476
35,42,2,25,0.063465229,23,36,0.001005078,30,0.6120374753317424,8.079056560853386,0.0007,11,0
599,10,1,31,0.044730386207862495,20,33,0.001005184,20,0.6985688615660586,3.654823436,0.026768666467473248,15,0
599,20,1,31,0.044730386207862495,10,71,0.000484,16,0.944,5.226412520981492,0.0007,10,0
599,42,1,31,0.044730386207862495,20,36,0.0005,30,0.5049997091211677,3.990401614,0.023624621795540406,12,0
652,10,2,21,0.5,20,36,0.001,20,0.7,4.869354779,0.016890543300091102,16,0
652,20,2,21,0.5,20,36,0.001,21,0.6023577963537091,5.961430355,0.009081909,11,0
652,42,2,21,0.5,22,36,0.002811363,20,0.4995352333767715,5.536718369821428,0.018757231420808387,5,0