fold_id,retrain_interval,window,units,lr,epochs,rel_thresh,f0,f1,sharpe,mdd,turnover,penalty,pick
553,10,20,40,0.0007229275492729631,15,0.6,-14.562859030411007,0.006567183043379499,14.562859030411007,0.006567183043379499,2.0,0.005867183043379371,knee_union
553,20,19,39,0.001000109545224577,20,0.6030596654596854,-13.310509598846869,0.00426102047317177,13.310509598846869,0.00426102047317177,2.0,0.0035610204731718036,knee_union
553,42,20,48,0.0005020561218140989,30,0.49813475501186605,-13.108441464312541,0.000699999999999938,13.108441464312541,0.000699999999999938,3.0,0.0,knee_union
564,10,20,36,0.0005173080938283644,30,0.7,-4.327887111745683,0.02756124078550676,4.327887111745683,0.02756124078550676,9.0,0.0,knee_union
564,20,20,36,0.000503730480279947,27,0.7,-5.397323080274527,0.010866289187132819,5.397323080274527,0.010866289187132819,11.0,0.0,knee_union
564,42,20,36,0.001002426129051504,20,0.7036704325491865,-5.596431718428349,0.010866289187132727,5.596431718428349,0.010866289187132727,9.0,0.0,knee_union
159,10,20,40,0.001,30,0.49901345075011094,-7.859782210115052,0.008483051001321495,7.859782210115052,0.008483051001321495,13.0,0.0,knee_union
159,20,21,36,0.0005,24,0.7000005086464487,-6.988113690426756,0.0013995099999999983,6.988113690426756,0.0013995099999999983,12.0,0.0,knee_union
159,42,20,36,0.0027112462973110187,20,0.6443000171780047,-7.6425169002838365,0.00459652546818356,7.6425169002838365,0.00459652546818356,14.0,0.0,knee_union
206,10,20,36,0.0006654395005332493,38,0.7,-4.522233452317139,0.014946084079767614,4.522233452317139,0.014946084079767614,10.0,0.0,knee_union
206,20,20,41,0.0010013008463916062,20,0.7091376470756782,-3.7204957359634956,0.014467552981601312,3.7204957359634956,0.014467552981601312,15.0,0.0,knee_union
206,42,20,36,0.0009891058729909496,31,0.7,-5.332973756156017,0.013086357469743837,5.332973756156017,0.013086357469743837,9.0,0.0,knee_union
347,10,20,43,0.0011994943576916044,30,0.7447434230707403,-5.663516039373011,0.0054931230680711415,5.663516039373011,0.0054931230680711415,14.0,0.0,knee_union
347,20,23,36,0.0009988331988081468,20,0.5366520438948496,-5.935072806775221,0.0038565201901476285,5.935072806775221,0.0038565201901476285,14.0,0.0,knee_union
347,42,10,119,0.001737,14,0.872,-5.654435816753201,0.0007000000000000066,5.654435816753201,0.0007000000000000066,,,knee_union
364,10,21,36,0.00203089452972207,20,0.5,-7.912571591559717,0.0015498688587119811,7.912571591559717,0.0015498688587119811,15.0,0.0,knee_union
364,20,20,35,0.00020386355511125632,30,0.7,-6.8125111513401695,0.01181436362184734,6.8125111513401695,0.01181436362184734,9.0,0.0,knee_union
364,42,20,36,0.0008585429752023238,13,0.6222812297026794,-6.04541631444193,0.012304233281278915,6.04541631444193,0.012304233281278915,5.0,0.0,knee_union
400,10,13,36,0.0027281103089417513,30,0.7889077453563774,-6.338333975303487,0.003599969233618899,6.338333975303487,0.003599969233618899,11.0,0.0,knee_union
400,20,20,39,0.000501831321989904,30,0.6942627997079546,-5.697798590300404,0.004481414554230056,5.697798590300404,0.004481414554230056,9.0,0.0,knee_union
400,42,19,36,0.0003205681045041303,30,0.6,-6.733249702657504,0.00393697288999232,6.733249702657504,0.00393697288999232,11.0,0.0,knee_union
444,10,20,36,0.001,30,0.49013095223198083,-4.325818819870079,0.00948304821697998,4.325818819870079,0.00948304821697998,15.0,0.0,knee_union
444,20,20,36,0.0009843479119582145,20,0.6007866318366754,-5.869819425648663,0.008996003965390593,5.869819425648663,0.008996003965390593,16.0,0.0,knee_union
444,42,20,36,0.0003567089663753469,27,0.7822180354849305,-5.2586333263336495,0.0018091263560223627,5.2586333263336495,0.0018091263560223627,5.0,0.0,knee_union
216,10,20,36,0.002,20,0.5,-5.463703805497106,0.017988294089211834,5.463703805497106,0.017988294089211834,12.0,0.0,knee_union
216,20,10,119,0.001737,14,0.872,-5.978844378561571,0.0013995099999998524,5.978844378561571,0.0013995099999998524,,,knee_union
216,42,21,36,0.0011633635155441152,20,0.7472950204569994,-6.250455299222661,0.001399509999999903,6.250455299222661,0.001399509999999903,7.0,0.0,knee_union
246,10,10,38,0.007015,26,0.823,-3.400423418179631,0.017094749436656016,3.400423418179631,0.017094749436656016,12.0,0.0,knee_union
246,20,20,36,0.0019180377952935875,20,0.5409170221832547,-6.2025869063819465,0.00959876897827812,6.2025869063819465,0.00959876897827812,10.0,0.0,knee_union
246,42,20,36,0.001239401063206361,20,0.7,-7.516391258924191,0.003329927460178474,7.516391258924191,0.003329927460178474,10.0,0.0,knee_union
3,10,20,33,0.0009757667811514586,30,0.6,-5.112463419323216,0.014254475406025056,5.112463419323216,0.014254475406025056,10.0,0.0001114976248559,knee_union
3,20,19,36,0.0005353530934500355,27,0.7077362833090478,-6.575455235663525,0.0047900275761446065,6.575455235663525,0.0047900275761446065,5.0,0.0001114976248559,knee_union
3,42,21,36,0.001,30,0.49172523808172147,-3.9099533546815177,0.013214108279616003,3.9099533546815177,0.013214108279616003,6.0,0.0,knee_union
35,10,20,36,0.00016611294185729772,20,0.6760491776978126,-7.126297737277828,0.0013283625771199673,7.126297737277828,0.0013283625771199673,14.0,0.0004264764687857002,knee_union
35,20,20,36,0.0024348593840386843,20,0.7,-5.174696757173215,0.004140247399138405,5.174696757173215,0.004140247399138405,6.0,0.0004264764687857002,knee_union
35,42,23,36,0.0010050781079672011,30,0.6120374753317424,-8.079056560853386,0.0007000000000000913,8.079056560853386,0.0007000000000000913,11.0,0.0,knee_union
599,10,20,33,0.0010051844691261519,20,0.6985688615660586,-3.65482343635174,0.026768666467473248,3.65482343635174,0.026768666467473248,15.0,0.0,knee_union
599,20,10,71,0.000484,16,0.944,-5.226412520981492,0.0007000000000001454,5.226412520981492,0.0007000000000001454,10.0,0.0,knee_union
599,42,20,36,0.0005,30,0.5049997091211677,-3.9904016137786,0.023624621795540406,3.9904016137786,0.023624621795540406,12.0,0.0,knee_union
652,10,20,36,0.001,20,0.7,-4.86935477907333,0.016890543300091102,4.86935477907333,0.016890543300091102,16.0,0.0,knee_union
652,20,20,36,0.001,21,0.6023577963537091,-5.96143035468135,0.009081909313764602,5.96143035468135,0.009081909313764602,11.0,0.0,knee_union
652,42,22,36,0.002811363183240972,20,0.4995352333767715,-5.536718369821428,0.018757231420808387,5.536718369821428,0.018757231420808387,5.0,0.0,knee_union
